PMID,Article Title,Year,Month,Day,Chemical List,keywords,,,,
29541204,LY294002 inhibits the Warburg effect in gastric cancer cells by downregulating pyruvate kinase M2.,2018,3,16,[],"['LY294002', 'Warburg effect', 'gastric cancer', 'glycolysis', 'pyruvate kinase M2']",,,,
29540486,Coenzyme A-mediated degradation of pyruvate dehydrogenase kinase 4 promotes cardiac metabolic flexibility after high-fat feeding in mice.,2018,3,16,[],"['Lon Protease', 'coenzyme A (CoA)', 'heart', 'mitochondria', 'proteolysis', 'pyruvate dehydrogenase complex (PDC)', 'pyruvate dehydrogenase kinase (PDC kinase)']",,,,
29540198,Evaluation of tumor M2-pyruvate kinase (Tumor M2-PK) as a biomarker for pancreatic cancer.,2018,3,16,[],"['Cancer prognosis', 'Pancreatic cancer', 'Tumor M2-PK']",,,,
29538422,Bidesmosidic betulin saponin bearing L-rhamnopyranoside moieties induces apoptosis and inhibition of lung cancer cells growth in vitro and in vivo.,2018,3,15,[],[],,,,
29533776,Glucose Metabolism in Cancer: The Saga of Pyruvate Kinase Continues.,2018,3,14,[],[],,,,
29524605,Redox-Sensitive Signaling in Inflammatory T cells and in Autoimmune Disease.,2018,3,11,[],"['ATM', 'NADPH', 'Reactive oxygen species', 'TKS5', 'glycolysis', 'podosomes', 'reductive stress', 'rheumatoid arthritis', 'tissue invasion']",,,,
29524400,AMPK activation by pterostilbene contributes to suppression of hepatic gluconeogenic gene expression and glucose production in H4IIE cells.,2018,3,11,[],"['AMPK', 'G6Pase', 'Gluconeogenesis', 'PEPCK', 'PPAR-\xce\xb1', 'Pterostilbene']",,,,
29523440,+T Cells.,2018,3,11,[],"['Akt', 'GSK3-beta', 'IFN-gamma', 'VDAC', 'endoplasmic reticulum', 'glycolysis', 'hexokinase', 'mTOR', 'memory CD8(+) T\xc2\xa0cells', 'mitochondria']",,,,
29519373,Novel mutations associated with pyruvate kinase deficiency in Brazil.,2018,3,10,[],"['Hemolytic anemia', 'Mutation', 'PKLR gene', 'Pyruvate kinase', 'Red cell disorder']",,,,
29519365,Pyruvate kinase deficiency: novel mutations and a better understanding of the genotype-to-phenotype correlation in Brazilian patients.,2018,3,10,[],[],,,,
29518948,ChREBP Rather Than SHP Regulates Hepatic VLDL Secretion.,2018,3,10,[],"['carbohydrate response element binding protein', 'microsomal triglyceride transfer protein', 'small heterodimer partner', 'very-low-density lipoprotein']",,,,
29514980,Pyruvate kinase M2 interacts with nuclear sterol regulatory element-binding protein 1a and thereby activates lipogenesis and cell proliferation in hepatocellular carcinoma.,2018,3,9,[],"['PKM2', 'SREBP-1a', 'cell proliferation', 'gene transcription', 'hepatocellular carcinoma', 'lipid metabolism', 'lipid synthesis', 'lipogenesis', 'liver cancer', 'pyruvate kinase', 'sterol regulatory element-binding protein']",,,,
29512924,Down-regulation of PKM2 enhances anticancer efficiency of THP on bladder cancer.,2018,3,8,[],"['THP', 'PKM2', 'bladder cancer', 'p-AMPK', 'p-STAT3']",,,,
29512370,"Indoleamine 2, 3-dioxygenase Up-regulates Hypoxia-inducible Factor-1α Expression by Degrading L-tryptophan but Not Its Activity in Human Alloreactive T-cells.",2018,3,8,[],"['Hypoxia-inducible factor-1 (HIF-1) \xce\xb1', 'Indoleamine 2, 3-dioxygenase', 'Metabolism', 'T-cell', 'c-Myc', 'p53']",,,,
29507904,Improved oxygenation dramatically alters metabolism and gene expression in cultured primary mouse hepatocytes.,2018,3,7,[],[],,,,
29505302,AMPK/GSK3β/β-catenin cascade-triggered overexpression of CEMIP promotes migration and invasion in anoikis-resistant prostate cancer cells by enhancing metabolic reprogramming.,2018,3,6,[],"['KIAA1199', 'apoptosis', 'metabolism', 'metastasis', 'prostatic carcinoma']",,,,
29502393,Hepatic transcriptional changes in critical genes for gluconeogenesis following castration of bulls.,2018,3,6,[],"['Beef cattle', 'Castration', 'Gene expression', 'Gluconeogenesis', 'Liver']",,,,
29502357,Qiliqiangxin attenuates hypoxia-induced injury in primary rat cardiac microvascular endothelial cells via promoting HIF-1α-dependent glycolysis.,2018,3,5,[],"['HIF-1\xce\xb1', 'cardiac microvascular endothelial cells', 'glucose metabolism', 'hypoxia injury', 'qiliqiangxin']",,,,
29501789,A lesson from the oxidative metabolism of hibernator heart: Possible strategy for cardioprotection.,2018,3,5,[],"['Cardioprotection', 'Heart', 'Hibernators', 'Mitochondria']",,,,
29501473,Enhanced butyric acid production in Clostridium tyrobutyricum by overexpression of rate-limiting enzymes in the Embden-Meyerhof-Parnas pathway.,2018,3,5,[],"['6-Phosphofructokinase', 'Butyric acid', 'Clostridium tyrobutyricum', 'Metabolic engineering', 'Pyruvate kinase']",,,,
29499117,"Native Mass Spectrometry Gives Insight into the Allosteric Binding Mechanism of M2 Pyruvate Kinase to Fructose-1,6-Bisphosphate.",2018,3,3,[],[],,,,
29483829,MiR-21-mediated Metabolic Alteration of Cancer-associated Fibroblasts and Its Effect on Pancreatic Cancer Cell Behavior.,2018,2,28,[],"['cancer-associated fibroblasts', 'glycolysis', 'metabolic alteration', 'miR-21']",,,,
29480483,Study of AMPK-Regulated Metabolic Fluxes in Neurons Using the Seahorse XFe Analyzer.,2018,2,27,[],"['AMPK', 'Energy metabolism', 'Glucose', 'Glycolysis', 'Ketone bodies', 'Lactate', 'Mitochondrial respiration', 'Oxidative phosphorylation', 'Seahorse Analyzer']",,,,
29477947,Cardioprotective effect of N-methylnicotinamide salt of pyruvate in experimental model of cardiac hypoxia.,2018,2,27,[],"['Apolipoprotein e (ApoE)', 'Cardiac hypoxia', 'Low- density lipoprotein receptor (LDLr)', 'Myocardial infarction', 'N-1-methylnicotinamide (MNA) salt of pyruvate']",,,,
29477608,Mushroom body glycolysis is required for olfactory memory in Drosophila.,2018,2,26,[],"['Brain', 'Drosophila', 'Glycolysis', 'Mushroom body', 'Olfactory memory']",,,,
29471628,Activation of Pyruvate Dehydrogenase by Sodium Dichloroacetate Shifts Metabolic Consumption from Amino Acids to Glucose in IPEC-J2 Cells and Intestinal Bacteria in Pigs.,2018,2,24,[],[],,,,
29471134,Citrobacter freundii impairs the phosphoryl transfer network in the gills of Rhamdia quelen: Impairment of bioenergetics homeostasis.,2018,2,23,[],"['Adenylate kinase', 'Aquaculture disease', 'Creatine kinase', 'Disease pathogenesis']",,,,
29468140,Posttranslational Modifications of Pyruvate Kinase M2: Tweaks that Benefit Cancer.,2018,2,23,[],"['M2 isoform of pyruvate kinase', 'Warburg effect', 'cancer metabolism', 'cancer therapy', 'glycolysis', 'posttranslational modifications']",,,,
29466423,Proteomic analysis of the human retina reveals region-specific susceptibilities to metabolic- and oxidative stress-related diseases.,2018,2,22,[],[],,,,
29463470,Metabolic Kinases Moonlighting as Protein Kinases.,2018,2,22,[],"['metabolic enzymes', 'phosphorylation', 'protein kinase']",,,,
29463416,Irradiation of rainbow trout at early life stages results in a proteomic legacy in adult gills. Part A  proteomic responses in the irradiated fish and in non-irradiated bystander fish.,2018,2,22,[],"['Bystander effect', 'Early life irradiation', 'Proteomics', 'Rainbow trout']",,,,
29462566,Non-alcoholic Fatty Liver Disease and Gastric Bypass Surgery Regulate Serum And Hepatic Levels of Pyruvate Kinase Isoenzyme M2.,2018,2,21,[],"['Bariatric surgery', 'NAFLD', 'NASH', 'Obesity', 'Steatohepatitis']",,,,
29462203,A generic HTS assay for kinase screening: Validation for the isolation of an engineered malate kinase.,2018,2,21,[],[],,,,
29460214,Rational design and analysis of an Escherichia coli strain for high-efficiency tryptophan production.,2018,2,21,[],"['Combinatorial modulation', 'Escherichia coli', 'L-tryptophan', 'Repression']",,,,
29456710,Mechanism of apoptosis induction associated with ERK1/2 upregulation via goniothalamin in melanoma cells.,2018,2,20,[],"['Akt', 'MAPK', 'apoptosis', 'goniothalamin', 'melanoma']",,,,
29455645,"Pyruvate kinase M2 fuels multiple aspects of cancer cells: from cellular metabolism, transcriptional regulation to extracellular signaling.",2018,2,20,[],[],,,,
29455571,Genetic Variation of the Kinases that Phosphorylate Tenofovir and Emtricitabine in Peripheral Blood Mononuclear Cells.,2018,2,20,[],[],,,,
29452935,E3 Ligase VHL Promotes Group 2 Innate Lymphoid Cell Maturation and Function via Glycolysis Inhibition and Induction of Interleukin-33 Receptor.,2018,2,18,[],"['HIF', 'ILC2', 'VHL', 'allergy', 'epigenetics', 'glycolysis', 'hypoxia', 'innate lymphoid cells', 'lung inflammation', 'metabolism']",,,,
29445082,"Pyruvate kinase M2 regulates photoreceptor structure, function, and viability.",2018,2,16,[],[],,,,
29442133,Follicle-stimulating hormone enhances hepatic gluconeogenesis by GRK2-mediated AMPK hyperphosphorylation at Ser485 in mice.,2018,2,15,[],"['AMPK', 'CRTC2', 'FSH', 'GRK2', 'Gluconeogenesis', 'Liver']",,,,
29440169,Oncogenic kinase-induced PKM2 tyrosine 105 phosphorylation converts non-oncogenic PKM2 to a tumor promoter and induces cancer stem-like cells.,2018,2,15,[],[],,,,
29437921,Streptomyces.,2018,2,14,[],"['Streptomyces', 'actinobacteria', 'antibiotics', 'evolution', 'primary metabolism', 'pyruvate kinase']",,,,
29434927,Upregulation of pyruvate kinase M2 expression by fatty acid synthase contributes to gemcitabine resistance in pancreatic cancer.,2018,2,13,[],"['fatty acid synthase', 'gemcitabine', 'pancreatic cancer', 'pyruvate kinase M2', 'treatment resistance']",,,,
29434648,Hsp90β knockdown in DIO mice reverses insulin resistance and improves glucose tolerance.,2018,2,13,[],"['Diabetes', 'Glucose metabolism', 'Heat shock protein 90', 'Hyperglycemia', 'Insulin resistance']",,,,
29425506,Early TCR Signaling Induces Rapid Aerobic Glycolysis Enabling Distinct Acute T Cell Effector Functions.,2018,2,10,[],"['LDH', 'PDHK1', 'T cell', 'TCR', 'cytokine', 'glucose', 'glycolysis', 'immunometabolism']",,,,
29417859,Newborn Screening for Hemoglobinopathies and Red Cell Enzymopathies in Tripura State: A Malaria-Endemic State in Northeast India.,2018,2,9,[],"['Hemoglobinopathies', 'Tripura State', 'newborn screening', 'red cell enzymopathies']",,,,
29416606,SOX9-PDK1 axis is essential for glioma stem cell self-renewal and temozolomide resistance.,2018,2,9,[],"['PDK1', 'SOX9', 'glioblastoma multiforme', 'self-renewal', 'temozolomide']",,,,
29416012,ROS-independent ER stress-mediated NRF2 activation promotes warburg effect to maintain stemness-associated properties of cancer-initiating cells.,2018,2,9,[],[],,,,
29415325,"New Thiophene-Acridine Compounds: Synthesis, Antileishmanial Activity, DNA Binding, Chemometric and Molecular Docking Studies.",2018,2,8,[],"['2-amino-thiophene', 'DNA binding', 'Leishmaniasis', 'acridine', 'molecular docking']",,,,
29414684,Digoxin Suppresses Pyruvate Kinase M2-Promoted HIF-1α Transactivation in Steatohepatitis.,2018,2,8,[],"['HIF-1\xce\xb1', 'NASH', 'ROS', 'alcohol', 'digoxin', 'liver', 'pyruvate kinase M2', 'steatohepatitis', 'sterile inflammation', 'therapy']",,,,
29412508,Proteomics Analysis of the Adhesion Activity of Lactobacillus acidophilus ATCC 4356 upon Growth in an Intestine-Like pH Environment.,2018,2,8,[],"['Lactobacillus acidophilus', 'adhesion activity', 'intestine-like pH environment', 'proteomics']",,,,
29410090,Temporal partitioning of adaptive responses of the murine heart to fasting.,2018,2,8,"['MAP1LC3 protein, mouse', 'Microtubule-Associated Proteins', 'TOR Serine-Threonine Kinases', 'mTOR protein, mouse', 'Protein-Serine-Threonine Kinases', 'pyruvate dehydrogenase (acetyl-transferring) kinase']","['Autophagy', 'Chronobiology', 'Heart', 'Metabolism', 'Nutrition']",,,,
29408265,Nuclear translocation of PKM2/AMPK complex sustains cancer stem cell populations under glucose restriction stress.,2018,2,7,[],"['AMPK', 'Cancer stemness', 'Glucose restriction', 'Pyruvate kinase M2']",,,,
29407448,Molecular Basis of Nongenomic Actions of Thyroid Hormone.,2018,2,7,[],"['Angiogenesis', 'Apoptosis', 'Cancer', 'Cytoskeleton', 'Nanoparticulate tetrac', 'Tetraiodothyroacetic acid', 'Thyroid hormone receptor', '\xce\xb1v integrin monomer', '\xce\xb1v\xce\xb23 integrin']",,,,
29406780,Acute activation of pyruvate dehydrogenase increases glucose oxidation in muscle without changing glucose uptake.,2018,2,7,[],"['Glucose oxidation', 'Hyperinsulinemic-euglycemic clamp', 'Insulin resistance', 'Muscle insulin action', 'Randle cycle']",,,,
29395744,Tourniquet time in total knee arthroplasty.,2018,2,6,[],"['Ischemia', 'Microdialysis', 'Osteoarthritis', 'Total knee arthroplasty', 'Tourniquet']",,,,
29394289,Lapachol inhibits glycolysis in cancer cells by targeting pyruvate kinase M2.,2018,3,13,"['Antineoplastic Agents, Phytogenic', 'Enzyme Inhibitors', 'Naphthoquinones', 'shikonin', 'lapachol', 'Pyruvate Kinase']",[],,,,
29393401,Pyruvate kinase type M2 contributes to the development of pancreatic ductal adenocarcinoma by regulating the production of metabolites and reactive oxygen species.,2018,2,3,[],[],,,,
29385732,Biomarkers for Detecting Mitochondrial Disorders.,2018,2,2,[],"['ATP', 'biomarker', 'diagnosis', 'mitochondrial disorder', 'mtDNA', 'oxidative phosphorylation']",,,,
29383422,Proteomic alterations of brain subcellular organelles caused by low-dose copper exposure: implication for Alzheimer's disease.,2018,2,1,[],"['3xTg-AD mice', 'Alzheimer\xe2\x80\x99s disease', 'Copper', 'Mitochondrial/nuclear proteomics', 'Neurotoxicity']",,,,
29383012,Homogenous and Microbeam X-Ray Radiation Induces Proteomic Changes in the Brains of Irradiated Rats and in the Brains of Nonirradiated Cage Mate Rats.,2018,2,1,[],"['antitumorigenesis', 'bystander effect', 'homogenous irradiation', 'microbeam irradiation', 'proteomics']",,,,
29379012,"Antimicrobial activity of apple cider vinegar against Escherichia coli, Staphylococcus aureus and Candida albicans; downregulating cytokine and microbial protein expression.",2018,1,31,[],[],,,,
29374601,AKT2 contributes to increase ovarian cancer cell migration and invasion through the AKT2-PKM2-STAT3/NF-κB axis.,2018,1,29,[],"['AKT2', 'Lung metastasis', 'Migration and invasion', 'Ovarian cancer', 'PKM2']",,,,
29374286,Evidence of Cross-Regulation in Two Closely Related Pyruvate-Sensing Systems in Uropathogenic Escherichia coli.,2018,1,28,[],"['Cross-regulation', 'Escherichia coli', 'Pyruvate-sensing', 'Two-component systems']",,,,
29374159,The responsively decreased PKM2 facilitates the survival of pancreatic cancer cells in hypoglucose.,2018,1,28,[],[],,,,
29372106,Thermogenic protein UCP1 and UCP3 expression in non-small cell lung cancer: relation with glycolysis and anaerobic metabolism.,2018,1,27,[],"['Lung cancer', 'UCP1', 'UCP3', 'anaerobic metabolism', 'glycolysis', 'thermogenesis']",,,,
29360773,Identification of Proteins Involved in Carbohydrate Metabolism and Energy Metabolism Pathways and Their Regulation of Cytoplasmic Male Sterility in Wheat.,2018,1,24,[],"['anther proteomics', 'cytoplasmic male sterility', 'hybrid wheat', 'isobaric tags for relative and absolute quantification (iTRAQ)']",,,,
29358703,RIP3 targets pyruvate dehydrogenase complex to increase aerobic respiration in TNF-induced necroptosis.,2018,1,24,[],[],,,,
29358228,E2F1 Suppresses Oxidative Metabolism and Endothelial Differentiation of Bone Marrow Progenitor Cells.,2018,1,24,[],"['bone marrow', 'cell differentiation', 'endothelial progenitor cells', 'myocardial infarction', 'oxygen consumption', 'stem cells']",,,,
29356574,Pyruvate Kinase M2 Modulates the Glycolysis of Chondrocyte and Extracellular Matrix in Osteoarthritis.,2018,1,23,[],"['PKM2', 'chondrocyte', 'extracellular matrix', 'glycolysis', 'osteoarthritis']",,,,
29349879,A novel PKLR gene mutation identified using advanced molecular techniques.,2018,1,20,[],"['PKLR gene', 'hemolytic anemia', 'next-generation sequencing', 'pyruvate kinase deficiency', 'transplantation']",,,,
29349661,PKM2 is involved in neuropathic pain by regulating ERK and STAT3 activation in rat spinal cord.,2018,1,20,[],"['Chronic constriction injury', 'Lactate', 'Neuropathic pain', 'PKM2', 'p-ERK', 'p-STAT']",,,,
29348870,Nε-carboxymethyl-lysine promotes calcium deposition in VSMCs via intracellular oxidative stress-induced PDK4 activation and alters glucose metabolism.,2018,1,20,[],"['CML', 'PDK4', 'calcification', 'glycolysis', 'oxidative stress']",,,,
29344818,"Dietary Chromium Picolinate Supplementation Affects Growth, Whole-Body Composition, and Gene Expression Related to Glucose Metabolism and Lipogenesis in Juvenile Blunt Snout Bream, Megalobrama amblycephala.",2018,1,19,[],"['Blunt snout bream', 'Chromium picolinate', 'Glucose metabolism', 'Growth performance', 'Lipogenesis', 'Megalobrama amblycephala']",,,,
29344170,Phosphorylation of Ser6 in hnRNPA1 by S6K2 regulates glucose metabolism and cell growth in colorectal cancer.,2018,1,19,[],"['alternative splicing', 'colorectal cancer', 'glucose metabolism', 'heterogeneous nuclear ribonucleoprotein', 'pyruvate kinase']",,,,
29343208,Lapatinib Inhibits Breast Cancer Cell Proliferation by Influencing PKM2 Expression.,2018,1,19,[],"['breast cancer', 'cell proliferation', 'isoenzyme', 'lapatinib', 'pyruvate kinase']",,,,
29342975,Gallic Acid Alleviates Hypertriglyceridemia and Fat Accumulation via Modulating Glycolysis and Lipolysis Pathways in Perirenal Adipose Tissues of Rats Fed a High-Fructose Diet.,2018,1,19,[],"['fat accumulation', 'gallic acid', 'high-fructose diet', 'hypertriglyceridemia', 'insulin signaling']",,,,
29340090,High glucose enhances the metastatic potential of tongue squamous cell carcinoma via the PKM2 pathway.,2018,1,18,[],"['PKM2', 'high glucose', 'metastasis', 'tongue squamous cell carcinoma']",,,,
29335522,Pyruvate kinase M2 promotes pancreatic ductal adenocarcinoma invasion and metastasis through phosphorylation and stabilization of PAK2 protein.,2018,1,18,[],[],,,,
29331521,"Increased transcript levels and kinetic function of pyruvate kinase during severe dehydration in aestivating African clawed frogs, Xenopus laevis.",2018,1,15,[],"['Allosteric regulation', 'Anaerobiosis', 'Gluconeogenesis', 'Glycolysis', 'Metabolism', 'Reversible protein phosphorylation']",,,,
29327510,"ZmSTK1 and ZmSTK2, encoding receptor-like cytoplasmic kinase, are involved in maize pollen development with additive effect.",2018,1,13,[],"['Zea mays', 'additive effect', 'male gametophyte transmission', 'pollen development', 'protein interaction', 'receptor-like cytoplasmic kinase']",,,,
29321333,MicroRNA 130a Regulates both Hepatitis C Virus and Hepatitis B Virus Replication through a Central Metabolic Pathway.,2018,1,12,[],"['PKLR', 'hepatitis B virus', 'hepatitis C virus', 'microRNA', 'pyruvate']",,,,
29319912,Transcriptomics in the wild: Hibernation physiology in free-ranging dwarf lemurs.,2018,1,11,[],"['Cheirogaleus', 'RNA-seq', 'differential gene expression', 'white adipose tissue']",,,,
29312802,EGFRwt/vIII-PKM2-β-catenin cascade affects proliferation and chemo-sensitivity in head and neck squamous cell carcinoma.,2018,1,10,[],"['EGFRvIII', 'HNSCC', 'PKM2', 'chemo-sensitivity', 'proliferation', '\xce\xb2-catenin']",,,,
29312595,Pyruvate kinase M2 phosphorylates H2AX and promotes genomic instability in human tumor cells.,2018,1,10,[],"['DNA damage', 'DNA damage response', 'genomic instability', 'pyruvate kinase', '\xce\xb3-H2AX']",,,,
29310734,Differential methylation of insulin-like growth factor 2 in offspring of physically active pregnant women.,2018,1,10,[],"['IGF2', 'epigenetics', 'maternal', 'methylation', 'physical activity', 'pregnancy']",,,,
29309376,A Case With Pyruvate Kinase Deficiency Remarkably Sensitive to Heat.,2018,1,9,[],[],,,,
29305513,Production of 4-Hydroxybenzoic Acid by an Aerobic Growth-Arrested Bioprocess Using Metabolically Engineered Corynebacterium glutamicum.,2018,1,7,[],"['4-hydroxybenzoate', 'Corynebacterium glutamicum', 'UbiC', 'aromatic compound', 'bioprocess', 'shikimate pathway']",,,,
29303786,Aerobic glycolysis in amyotrophic lateral sclerosis and Huntington's disease.,2018,1,6,[],"['Huntington\xe2\x80\x99s disease', 'WNT/\xce\xb2-catenin pathway', 'Warburg effect', 'aerobic glycolysis', 'amyotrophic lateral disease']",,,,
29302304,Novel mechanisms for organic acid-mediated aluminium tolerance in roots and leaves of two contrasting soybean genotypes.,2018,1,6,[],"['Aluminium tolerance', 'citrate metabolism', 'jasmonic acid', 'soybean', 'transcriptome']",,,,
29301575,Warburg effect hypothesis in autism Spectrum disorders.,2018,1,6,[],"['Aerobic glycolysis', 'Autism spectrum disorders', 'LDH-a', 'Lactate', 'WNT/\xce\xb2-catenin pathway', 'Warburg effect']",,,,
29301095,Metabolic engineering of Escherichia coli for the production of indirubin from glucose.,2018,1,5,[],"['Escherichia coli', 'Indigo', 'Indirubin', 'Metabolic engineering', 'Synthetic biology']",,,,
29299177,PKM2 in carcinogenesis and oncotherapy.,2018,1,5,[],"['PKM2', 'Warburg effect', 'aerobic glycolysis', 'carcinogenesis', 'oncotherapy']",,,,
29294006,Diurnal Variation in PDK4 Expression Is Associated With Plasma Free Fatty Acid Availability in People.,2018,1,3,[],[],,,,
29290976,Neuron-derived transthyretin modulates astrocytic glycolysis in hormone-independent manner.,2018,1,2,[],"['GSK3', 'PI3K/AKT pathway', 'astrocyte-neuron lactate shuttle', 'brain metabolism', 'cAMP/PKA signalling']",,,,
29290767,in vivo.,2018,1,2,[],"['CyclinD1', 'Esohpageal cancer', 'Pyruvate kinase M2', 'Shikonin', 'hypoxia inducible factor 1\xce\xb1']",,,,
29288557,Alu element insertion in PKLR gene as a novel cause of pyruvate kinase deficiency in Middle Eastern patients.,2017,12,31,[],"['AluYb9', 'PKLR', 'hemolytic anemia', 'insertion mutation', 'pyruvate kinase deficiency', 'retrotransposon', 'transposable element']",,,,
29285418,PDK4 Deficiency Induces Intrinsic Apoptosis in Response to Starvation in Fibroblasts from Doberman Pinschers with Dilated Cardiomyopathy.,2017,12,30,[],"['AAV', 'PDK4', 'cardiomyopathy', 'dilated Doberman Pinschers', 'mitochondria', 'pyruvate dehydrogenase kinase']",,,,
29284613,Klebsiella pneumoniaesepsis in a patient with pyruvate kinase deficiency and asplenia.,2018,1,25,['Pyruvate Kinase'],[],,,,
